MID,DCID,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10
MT001,DC001,131,176,148,173,196,170,110,218,178,151
MT004,DC001,177,118,170,136,209,152,148,164,162,263
MT005,DC001,168,232,280,152,144,115,224,187,155,183
MT007,DC001,114,250,205,148,261,151,207,163,251,205
MT008,DC001,202,258,165,181,164,235,198,144,153,192
MT009,DC001,177,128,211,174,179,171,165,154,157,254
MT010,DC001,283,109,112,236,129,191,143,208,161,232
MT011,DC001,158,202,181,130,164,112,171,154,237,192
MT013,DC001,206,203,143,115,255,157,173,171,128,232
MT014,DC001,158,201,185,135,240,191,153,128,175,169
MT016,DC001,92,190,227,154,129,259,175,151,170,157
MT017,DC001,224,118,155,141,206,126,110,149,138,216
MT018,DC001,122,142,154,98,112,138,182,166,144,222
MT019,DC001,150,203,281,206,201,165,244,215,170,273
MT020,DC001,174,118,248,115,108,122,174,160,157,189
MT025,DC001,129,183,183,210,254,174,203,185,189,160
MT026,DC001,175,144,163,179,217,224,164,148,160,168
MT028,DC001,166,165,172,126,157,254,138,208,152,155
MT029,DC001,133,177,162,180,251,162,138,182,102,139
MT030,DC001,248,164,182,165,178,134,119,224,132,172
MT031,DC001,194,145,129,136,207,104,124,149,231,136
MT032,DC001,198,94,176,227,169,259,161,206,155,178
MT033,DC001,152,209,143,134,121,172,165,186,256,172
MT035,DC001,201,215,261,156,232,139,132,198,179,211
MT036,DC001,248,204,192,157,150,183,200,212,263,226
MT021,DC001,572,722,565,707,359,596,317,530,700,852
MT023,DC001,407,495,513,447,371,562,475,502,625,597
MT002,DC001,151,105,146,123,94,180,107,116,102,175
MT003,DC001,119,105,159,144,83,181,169,78,156,179
MT006,DC001,115,156,144,116,125,127,149,172,154,108
MT012,DC001,166,168,197,172,129,131,142,167,131,128
MT015,DC001,172,133,97,144,149,190,109,78,87,152
MT022,DC001,135,123,131,113,108,106,118,109,191,97
MT024,DC001,105,121,125,92,111,132,95,93,166,128
MT027,DC001,130,121,182,118,96,87,147,161,146,81
MT034,DC001,66,100,94,116,119,175,136,128,155,158
MT001,DC002,138,159,118,95,114,108,89,95,151,98
MT004,DC002,125,154,76,131,65,142,129,118,118,82
MT005,DC002,101,167,81,135,112,151,163,104,115,118
MT007,DC002,134,166,103,146,94,159,98,77,152,108
MT008,DC002,155,132,156,146,143,92,121,123,164,110
MT009,DC002,76,160,95,121,122,140,189,183,77,101
MT010,DC002,116,87,71,82,160,97,153,101,78,106
MT011,DC002,147,86,129,145,115,121,121,105,160,77
MT013,DC002,136,111,143,157,112,172,153,138,73,175
MT014,DC002,113,113,105,162,117,154,108,112,114,102
MT016,DC002,76,163,105,153,104,110,108,147,185,121
MT017,DC002,88,83,161,93,154,128,127,77,100,84
MT018,DC002,122,131,75,141,93,160,120,154,159,119
MT019,DC002,149,119,143,166,121,129,185,108,83,134
MT020,DC002,96,112,72,121,109,134,96,105,110,111
MT025,DC002,115,83,110,69,118,74,105,146,120,78
MT026,DC002,148,124,109,112,101,120,150,137,145,114
MT028,DC002,99,100,96,111,89,176,137,111,79,109
MT029,DC002,141,109,60,101,108,71,179,111,130,184
MT030,DC002,95,126,77,78,72,83,107,80,161,149
MT031,DC002,79,165,158,102,110,78,99,98,180,116
MT032,DC002,82,119,101,154,109,150,70,75,99,88
MT033,DC002,70,136,97,92,74,165,131,148,108,98
MT035,DC002,74,117,125,111,109,106,165,103,144,181
MT036,DC002,131,77,142,146,157,132,107,148,134,125
MT021,DC002,354,294,442,299,459,296,284,390,335,333
MT023,DC002,264,259,218,328,289,367,234,197,471,430
MT002,DC002,61,86,85,92,122,115,63,79,114,70
MT003,DC002,47,84,108,89,111,97,109,80,62,52
MT006,DC002,84,105,65,62,75,72,112,54,64,47
MT012,DC002,71,86,61,79,73,82,83,100,71,71
MT015,DC002,135,74,110,111,54,83,94,85,103,104
MT022,DC002,65,96,99,69,85,60,98,94,83,71
MT024,DC002,70,74,86,105,88,59,65,85,76,71
MT027,DC002,64,58,63,100,84,79,75,91,62,71
MT034,DC002,51,110,87,84,81,78,61,67,92,77
MT001,DC003,184,119,130,146,171,179,125,144,165,215
MT004,DC003,177,164,295,158,172,180,178,157,180,232
MT005,DC003,139,135,169,208,139,199,227,101,184,211
MT007,DC003,174,124,162,131,162,127,164,241,141,123
MT008,DC003,192,169,144,207,179,290,205,133,167,131
MT009,DC003,143,138,177,234,133,179,143,145,123,177
MT010,DC003,185,243,124,171,164,102,196,120,188,260
MT011,DC003,190,170,158,115,241,211,161,154,198,179
MT013,DC003,193,278,215,192,153,218,262,186,212,132
MT014,DC003,146,257,191,140,184,120,139,205,211,268
MT016,DC003,174,232,137,148,279,116,152,132,150,234
MT017,DC003,145,190,159,270,148,192,134,276,203,234
MT018,DC003,181,202,183,159,120,208,193,218,170,122
MT019,DC003,205,126,231,174,115,128,215,280,171,230
MT020,DC003,209,109,174,244,164,174,263,117,134,179
MT025,DC003,181,263,156,143,206,217,197,153,244,167
MT026,DC003,248,213,179,126,153,168,238,192,263,132
MT028,DC003,102,170,99,139,243,201,177,133,232,191
MT029,DC003,196,250,120,133,251,150,132,174,220,115
MT030,DC003,206,239,167,194,157,194,94,181,206,125
MT031,DC003,210,150,132,232,138,193,144,160,149,263
MT032,DC003,230,156,106,183,104,175,200,218,132,154
MT033,DC003,136,159,138,163,194,174,177,174,178,126
MT035,DC003,150,200,225,164,118,166,252,121,137,156
MT036,DC003,217,224,187,208,133,158,160,270,256,189
MT021,DC003,373,281,413,248,312,431,264,440,483,320
MT023,DC003,334,384,465,318,378,234,492,582,287,563
MT002,DC003,58,75,42,46,52,86,92,62,103,66
MT003,DC003,61,43,65,75,73,67,70,78,66,98
MT006,DC003,58,83,109,58,91,70,100,48,71,50
MT012,DC003,65,76,91,64,95,57,79,80,66,62
MT015,DC003,79,81,68,84,85,82,69,61,71,42
