MID,DCID,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10
MT001,DC001,140,186,158,181,137,182,164,183,151,149
MT004,DC001,150,148,190,192,196,158,184,185,153,181
MT005,DC001,130,194,260,183,146,107,203,183,181,159
MT007,DC001,154,252,255,218,259,196,234,185,238,143
MT008,DC001,200,209,136,136,188,181,209,232,152,261
MT009,DC001,146,123,205,172,141,173,138,148,125,193
MT010,DC001,263,159,161,194,160,194,195,183,153,178
MT011,DC001,160,221,130,113,178,139,148,148,245,172
MT013,DC001,187,129,207,111,226,217,175,180,188,170
MT014,DC001,178,155,148,153,203,204,148,146,137,172
MT016,DC001,96,178,221,125,144,230,159,109,172,164
MT017,DC001,215,181,195,157,180,143,124,207,127,197
MT018,DC001,174,157,143,171,139,101,172,228,195,187
MT019,DC001,137,205,241,164,169,135,223,181,197,241
MT020,DC001,163,156,267,122,103,146,195,139,102,181
MT025,DC001,193,212,234,150,146,128,139,231,222,186
MT026,DC001,148,124,186,197,217,179,241,199,133,158
MT028,DC001,183,109,118,165,99,225,142,225,155,173
MT029,DC001,220,213,154,128,182,201,203,130,102,165
MT030,DC001,229,182,134,159,167,200,119,226,127,197
MT031,DC001,193,154,172,218,181,124,173,181,200,189
MT032,DC001,204,130,147,230,157,227,200,188,221,141
MT033,DC001,174,168,136,165,211,129,177,126,225,219
MT035,DC001,181,236,157,247,238,164,128,230,126,220
MT036,DC001,263,147,202,154,204,224,146,203,243,205
MT021,DC001,663,798,528,635,431,626,381,647,596,682
MT023,DC001,547,516,672,547,406,550,568,502,432,527
MT002,DC001,164,121,115,109,126,173,107,145,117,143
MT003,DC001,140,104,104,130,129,159,183,102,153,170
MT006,DC001,141,139,108,125,168,83,90,184,128,109
MT012,DC001,159,181,162,158,126,196,133,185,117,202
MT015,DC001,153,146,122,139,150,175,100,127,85,135
MT022,DC001,135,87,125,194,93,146,135,154,151,113
MT024,DC001,123,166,85,134,146,122,118,126,191,169
MT027,DC001,133,121,203,127,95,86,196,158,159,98
MT034,DC001,73,86,94,106,89,172,122,143,140,143
MT001,DC002,125,147,118,89,135,111,90,84,141,113
MT004,DC002,164,182,102,116,74,125,105,129,97,122
MT005,DC002,160,160,98,104,125,107,181,127,87,104
MT007,DC002,121,115,128,150,67,151,153,79,107,96
MT008,DC002,109,95,139,112,139,132,93,113,160,141
MT009,DC002,82,155,86,108,91,94,166,147,73,127
MT010,DC002,135,104,91,104,133,89,133,95,69,125
