MID,DCID,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10
MT001,DC001,177,207,195,162,158,207,132,183,187,199
MT004,DC001,136,168,162,164,187,136,148,148,134,221
MT005,DC001,140,213,217,197,164,134,195,213,185,142
MT007,DC001,152,203,207,183,207,162,193,170,211,174
MT008,DC001,177,215,142,156,158,185,183,187,142,209
MT009,DC001,195,156,185,187,164,144,162,128,130,195
MT010,DC001,223,156,152,223,148,158,177,181,201,209
MT011,DC001,174,215,160,134,162,136,138,150,201,183
MT013,DC001,215,156,201,144,207,181,177,225,162,181
MT014,DC001,150,207,181,144,205,215,187,164,140,172
MT016,DC001,128,183,197,164,172,207,142,136,191,138
MT017,DC001,181,168,201,140,219,140,148,177,148,227
MT018,DC001,174,154,144,138,142,130,170,221,170,195
MT019,DC001,132,197,223,162,219,130,197,201,221,213
MT020,DC001,179,150,221,142,132,128,179,170,132,203
MT025,DC001,177,191,187,172,195,158,160,203,191,162
MT026,DC001,170,150,227,181,201,172,193,176,148,195
MT028,DC001,168,136,148,156,130,203,189,191,146,201
MT029,DC001,185,211,156,170,209,197,197,148,134,170
MT030,DC001,191,150,164,150,217,172,154,215,128,174
MT031,DC001,162,134,152,179,199,138,166,148,179,191
MT032,DC001,187,134,156,225,209,227,168,219,221,142
MT033,DC001,185,215,146,162,170,142,179,162,221,223
MT035,DC001,156,213,201,217,209,193,132,211,166,185
MT036,DC001,225,189,164,183,177,185,164,181,217,211
MT021,DC001,608,694,614,552,403,614,453,558,614,682
MT023,DC001,502,521,546,502,508,639,490,422,508,694
MT002,DC001,161,144,115,127,101,162,101,159,94,161
MT003,DC001,149,114,128,138,117,159,151,107,132,144
MT006,DC001,145,142,112,100,149,104,117,161,144,117
MT012,DC001,135,162,154,142,117,162,129,164,135,162
MT015,DC001,155,145,102,138,158,161,105,104,107,122
MT022,DC001,122,108,164,159,111,134,124,134,159,95
MT024,DC001,104,141,105,110,125,154,125,105,158,135
MT027,DC001,112,134,164,104,104,94,162,134,135,108
MT034,DC001,92,92,112,132,105,138,127,128,125,149
MT001,DC002,134,137,120,88,139,90,95,99,131,102
MT004,DC002,139,148,85,112,88,134,101,111,94,108
MT005,DC002,142,143,103,130,108,122,148,115,101,94
MT007,DC002,119,147,135,125,84,125,133,86,120,94
MT008,DC002,134,103,124,122,125,108,94,103,140,128
MT009,DC002,88,138,84,107,94,110,148,144,90,137
MT010,DC002,130,110,95,103,133,107,143,94,86,121
MT011,DC002,144,92,104,119,120,93,131,89,125,86
MT013,DC002,112,139,139,148,99,146,133,139,92,140
MT014,DC002,128,93,106,146,119,143,84,104,107,113
MT016,DC002,101,147,126,131,99,90,133,139,146,125
MT017,DC002,121,92,140,124,133,116,146,92,103,110
MT018,DC002,140,122,86,110,88,137,128,147,146,113
MT019,DC002,117,135,134,128,125,134,147,117,104,111
MT020,DC002,90,115,95,98,124,135,107,115,115,117
MT025,DC002,148,94,115,92,120,86,94,147,139,107
MT026,DC002,148,122,88,88,93,98,125,128,139,112
MT028,DC002,101,137,97,101,119,144,120,146,113,122
MT029,DC002,110,115,86,142,126,95,148,101,103,148
MT030,DC002,99,142,88,94,88,84,116,86,124,117
MT031,DC002,92,134,139,134,130,112,93,117,144,93
MT032,DC002,95,125,125,134,97,134,99,85,106,94
MT033,DC002,92,119,129,125,92,147,134,119,115,110
MT035,DC002,92,126,112,128,134,140,133,103,129,144
MT036,DC002,146,94,112,121,135,148,146,133,133,128
MT021,DC002,421,258,398,247,353,380,338,361,368,262
MT023,DC002,361,273,266,353,353,311,269,277,368,387
MT002,DC002,77,90,79,93,105,96,69,101,95,65
MT003,DC002,66,99,92,72,105,82,95,67,86,74
MT006,DC002,65,91,64,74,99,74,92,65,77,65
MT012,DC002,70,69,84,85,67,71,78,83,95,69
MT015,DC002,107,88,107,103,77,88,78,94,103,96
MT022,DC002,90,88,103,73,84,76,96,74,65,88
MT024,DC002,81,81,95,99,71,67,69,91,69,66
MT027,DC002,61,68,71,90,80,91,65,80,63,87
MT034,DC002,64,85,81,82,77,68,67,76,76,87
MT001,DC003,150,142,180,209,206,213,154,148,130,213
MT004,DC003,150,144,229,186,164,184,160,148,225,227
MT005,DC003,174,182,180,229,154,219,223,136,152,166
MT007,DC003,160,146,180,142,162,176,198,194,136,156
MT008,DC003,211,209,180,174,148,225,192,158,178,136
MT009,DC003,202,164,174,190,180,156,132,144,132,172
MT010,DC003,206,206,150,174,180,138,162,144,192,206
MT011,DC003,221,138,186,134,204,229,156,198,206,211
MT013,DC003,162,217,176,148,174,208,215,198,198,154
MT014,DC003,170,204,182,182,209,136,170,209,180,227
MT016,DC003,196,209,178,172,227,136,162,150,209,225
MT017,DC003,144,194,164,209,150,164,162,217,180,200
MT018,DC003,211,180,168,164,150,217,182,188,138,156
MT019,DC003,160,160,204,172,138,146,215,217,140,213
MT020,DC003,211,144,217,192,198,164,217,144,146,221
MT025,DC003,213,217,202,170,184,215,184,196,188,188
MT026,DC003,194,211,227,130,176,134,225,150,204,142
MT028,DC003,138,170,138,156,221,221,170,170,180,172
MT029,DC003,211,208,154,188,204,209,132,164,196,146
MT030,DC003,178,221,204,166,144,192,132,166,178,156
MT031,DC003,178,200,186,200,170,186,172,144,158,217
MT032,DC003,213,138,136,223,130,186,196,198,140,132
MT033,DC003,142,138,142,154,176,202,186,198,162,154
MT035,DC003,152,200,176,200,136,152,215,146,156,154
MT036,DC003,184,211,170,184,156,168,130,227,223,180
MT021,DC003,401,351,405,355,343,368,293,431,393,359
MT023,DC003,393,334,435,284,305,293,410,481,276,443
MT002,DC003,56,79,56,54,64,89,77,61,79,77
MT003,DC003,53,51,59,84,70,53,66,70,68,87
MT006,DC003,80,72,89,71,89,67,88,67,63,63
MT012,DC003,86,84,80,51,81,60,67,70,53,86
MT015,DC003,65,72,67,87,83,80,60,58,88,53
MT022,DC003,67,59,87,66,56,67,59,82,73,56
MT024,DC003,82,79,72,89,51,79,87,84,70,73
MT027,DC003,50,68,70,80,70,87,54,84,76,56
MT034,DC003,72,60,67,62,55,79,79,50,53,56
MT001,DC004,150,200,182,146,145,185,156,124,184,193
